code;libelle_v2020;classant_2020
AAPA900;Déconnexion d'une zone épileptogène, par craniotomie;1
AAFA007;Excision d'une zone épileptogène, par craniotomie;1
AAFA004;Hémisphérectomie fonctionnelle, par craniotomie;1
AAFA005;Exérèse de lésion du corps calleux, du fornix hypothalamique ou du septum pellucide, par craniotomie;1
AAFA002;Exérèse de tumeur intraparenchymateuse du cerveau, par craniotomie;1
AAFA006;Résection de parenchyme cérébral pour infarctus expansif, par craniotomie;1
AAJH003;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage radiologique;1
AAJH001;Évacuation de collection intracérébrale, par voie transcrânienne avec guidage scanographique;1
AAJA001;Évacuation de collection intracérébrale, par craniotomie;1
AAJA005;Évacuation de collection intracrânienne postopératoire, par reprise de la craniotomie précédente;1
AAJH004;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage radiologique;1
AAJH002;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique;1
AAJA004;Évacuation d'hématome intracérébral non traumatique, par craniotomie;1
AAJA002;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie;1
AAFA001;Exérèse de tumeur intraparenchymateuse du cervelet, par craniotomie;1
AAFA008;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie;1
AAFA003;Exérèse de lésion du tronc cérébral, par craniotomie;1
AAJA003;Évacuation d'hématome intracérébelleux, par craniotomie;1
AAJA006;Parage de plaie craniocérébrale;1
ABLA001;Pose d'un cathéter intraventriculaire ou intrakystique cérébral par voie transcrânienne, avec pose d'un système diffuseur ou d'une pompe implantable souscutané;1
ABGA003;Ablation d'un système diffuseur implanté et du cathéter intraventriculaire ou intrakystique cérébral;1
ABCB001;Dérivation externe du liquide cérébrospinal ventriculaire ou subdural, par voie transcrânienne;1
ABCA003;Dérivation péritonéale d'une collection subdurale du liquide cérébrospinal crânien, par abord direct;1
ABCA002;Dérivation péritonéale ou atriale du liquide cérébrospinal ventriculaire, par abord direct;1
ABCA004;Dérivation péritonéale ou atriale de kyste intracrânien, par abord direct;1
ABCC001;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par vidéochirurgie intracrânienne;1
ABCA001;Ventriculoventriculostomie, ventriculocisternostomie, kystocisternostomie ou kystoventriculostomie, par craniotomie;1
ABMA003;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par craniotomie;1
ABSA012;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par endoscopie;1
ABSA010;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord paralatéronasal;1
ABSA011;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord nasosphénoïdal;1
ABSA005;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par abord orbitaire;1
ABSA007;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie;1
ABSA003;Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal;1
ABSA001;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie;1
ABSA002;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord translabyrinthique;1
ABSA006;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord suprapétreux;1
ABSA004;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical;1
ABSA008;Fermeture d'une fistule postopératoire de liquide cérébrospinal de la base du crâne;1
ABSA009;Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire de la voûte crânienne, par craniotomie;1
ABFA007;Exérèse d'une fistule dermique avec prolongement intradural occipital;1
ABFA003;Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne;1
ABFA001;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, sans rapprochement orbitaire;1
ABFA004;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire;1
ABJA005;Évacuation d'un hématome extradural supratentoriel, par craniotomie;1
ABJA004;Évacuation d'un hématome extradural infratentoriel, par craniotomie;1
ABJA007;Évacuation d'un hématome extradural plurifocal supratentoriel et/ou infratentoriel, par craniotomie;1
ABJA002;Évacuation d'un hématome subdural aigu, par craniotomie;1
ABJA003;Évacuation d'un hématome subdural chronique unilatéral, par craniotomie;1
ABJA006;Évacuation d'un hématome subdural chronique bilatéral, par craniotomie;1
ABJA008;Évacuation d'un empyème intracrânien extracérébral, par craniotomie;1
ABJC900;Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie;1
ABJA001;Évacuation d'une hémorragie intraventriculaire cérébrale, par craniotomie;1
ACFA001;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale unilatérale;1
ACFA015;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale;1
ACFA026;Exérèse de tumeur de l'étage antérieur de la base du crâne, par craniotomie frontale bilatérale et abord ethmoïdal;1
ACFA022;Exérèse de tumeur de la région optochiasmatique et/ou hypothalamique, par craniotomie;1
ACFA011;Exérèse de tumeur de l'étage moyen de la base du crâne, par craniotomie;1
ACFA013;Exérèse de tumeur du tiers interne de l'étage moyen de la base du crâne intéressant l'angle sphénoorbitaire, par craniotomie;1
ACFA006;Exérèse de tumeur de la pointe du rocher sans déroutement du nerf facial, par abord transpétreux;1
ACFA029;Exérèse de tumeur de la pointe du rocher avec déroutement du nerf facial, par abord transpétreux;1
ACFA003;Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique;1
ACFA009;Exérèse de tumeur de la pointe du rocher, par abord suprapétreux;1
ACFA016;Exérèse de tumeur de la région pétroclivale sans déroutement du nerf facial, par abord transpétreux;1
ACFA025;Exérèse de tumeur de la région pétroclivale avec déroutement du nerf facial, par abord transpétreux;1
ACFA004;Exérèse de tumeur du clivus, par craniotomie;1
ACFA020;Exérèse de tumeur du clivus, par abord transoral ou nasosphénoïdal;1
ACFA012;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord suprapétreux;1
ACFA007;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord translabyrinthique;1
ACFA005;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord rétrolabyrinthique présigmoïdien;1
ACFA010;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord infraoccipital rétrosigmoïdien;1
ACFA027;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par abord transotique;1
ACFA014;Exérèse de tumeur de l'angle pontocérébelleux et/ou du méat acoustique interne [conduit auditif interne], par deux abords;1
ACFA024;Exérèse de tumeur du foramen magnum sans déroutement de l'artère vertébrale, par craniotomie;1
ACFA019;Exérèse de tumeur du foramen magnum avec déroutement de l'artère vertébrale, par craniotomie;1
ACFA023;Exérèse de tumeur du foramen jugulaire, par craniotomie;1
ACFA002;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau sans atteinte de sinus veineux dural, par craniotomie;1
ACFA028;Exérèse de tumeur extraparenchymateuse de la convexité du cerveau envahissant un sinus veineux dural, par craniotomie;1
ACFA008;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet sans atteinte de sinus veineux dural, par craniotomie;1
ACFA018;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie;1
ABFA010;Exérèse de tumeur de la faux du cerveau, par craniotomie;1
ABFA008;Exérèse de tumeur de la tente du cervelet, par craniotomie soustentorielle;1
ABFA009;Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle;1
ABFC002;Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne;1
ABFA005;Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie;1
ABFC001;Exérèse de lésion du troisième ventricule, par vidéochirurgie intracrânienne;1
ABFA002;Exérèse de lésion du troisième ventricule, par craniotomie;1
ABFA006;Exérèse de lésion du quatrième ventricule, par craniotomie;1
AENA001;Destruction sélective de la corne postérieure de la moelle épinière ou de la jonction radicellospinale, par abord postérieur;1
AEPB001;Cordotomie spinale, par voie transcutanée;1
AEPA002;Myélotomie, commissurotomie ou cordotomie spinale, par abord postérieur;1
AHPA025;Radicotomie spinale, par abord postérieur;1
AEPA001;Libération de moelle attachée, par abord postérieur;1
AEFA001;Exérèse de lésion de la moelle épinière sur un étage vertébral, par abord postérieur;1
AEFA002;Exérèse de lésion de la moelle épinière sur plusieurs étages vertébraux, par abord postérieur;1
AEFA003;Exérèse de lésion du cône médullaire, par abord postérieur;1
AHFA007;Exérèse de lésion de la queue de cheval sur un étage vertébral, par abord postérieur;1
AHFA003;Exérèse de lésion de la queue de cheval étendue sur plusieurs étages vertébraux [lésion géante de la queue de cheval], par abord postérieur;1
AHFA012;Exérèse de lipome de la queue de cheval avec fermeture de méningocèle ou de myéloméningocèle, par abord postérieur;1
AEJA004;Parage et fermeture de plaie pénétrante vertébrospinale, par abord postérieur;1
AEJA001;Parage et fermeture de plaie pénétrante vertébrospinale, par abord antérieur ou antérolatéral;1
AEJA005;Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord postérieur;1
AEJA002;Parage et fermeture de plaie pénétrante vertébrospinale avec ostéosynthèse vertébrale, par abord antérieur ou antérolatéral;1
AFSA002;Fermeture d'un spina bifida avec méningocèle, par abord postérieur;1
AFSA001;Fermeture d'un spina bifida avec myéloméningocèle, par abord postérieur;1
AEPA004;Libération d'une diastématomyélie, par abord postérieur;1
AFFA006;Exérèse d'une fistule dermique avec prolongement intradural rachidien;1
AEJA003;Évacuation d'hématome intraspinal [hématomyélie];1
AFLB008;Pose d'un cathéter péridural [épidural], avec pose d'un système diffuseur ou d'une pompe implantable souscutané;1
AFLA003;Pose d'un cathéter intrathécal ou intrakystique spinal, avec pose d'un système diffuseur ou d'une pompe implantable souscutané;1
AFGA001;Ablation d'un système diffuseur ou d'une pompe implanté souscutané et du cathéter péridural [épidural] ou intrathécal spinal;1
AFKB002;Changement d'un cathéter péridural [épidural] relié à un système diffuseur ou à une pompe implanté souscutané;1
AFKB001;Changement d'un cathéter intrathécal spinal relié à un système diffuseur ou une pompe implanté souscutané;1
QZKA001;Changement d'un système diffuseur ou d'une pompe implanté souscutané sans changement du cathéter péridural [épidural] ou intrathécal spinal;1
AFLB007;Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, sans guidage;1
AFLH001;Injection thérapeutique péridurale [épidurale] d'agent pharmacologique, par voie transcutanée avec guidage radiologique;1
AFLB006;Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée sans guidage;1
AFLH002;Injection thérapeutique intrathécale d'agent pharmacologique, par voie transcutanée avec guidage radiologique;1
AFJA001;Évacuation d'hématome péridural [épidural] rachidien, par abord direct;1
AFJA004;Évacuation d'hématome péridural [épidural] rachidien postopératoire, par abord direct;1
AFJA003;Évacuation d'hématome intradural rachidien, par abord direct;1
AFPA001;Mise à plat de lésion infectieuse péridurale rachidienne et/ou paravertébrale postopératoire [sepsis], par abord direct;1
AFCA004;Dérivation externe du liquide cérébrospinal subarachnoïdien rachidien;1
AFCA002;Dérivation lombopéritonéale du liquide cérébrospinal subarachnoïdien rachidien, par abord direct;1
AFCA001;Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale dans l'espace subarachnoïdien rachidien, par abord direct;1
AFCA003;Dérivation d'une cavité liquidienne intraspinale [syringomyélique] ou périspinale en dehors de l'espace subarachnoïdien rachidien, par abord direct;1
AFGA002;Ablation d'une dérivation interne intraspinale du liquide cérébrospinal rachidien, par abord direct;1
AFJA002;Parage d'une épidurite et/ou d'une spondylodiscite sans reconstruction vertébrale, par abord direct;1
AFJA005;Parage d'une épidurite et/ou d'une spondylodiscite avec reconstruction vertébrale par greffe et/ou ostéosynthèse, par abord direct;1
AFFA004;Exérèse de kyste méningé intracanalaire vertébral, par abord postérieur;1
AFSA003;Fermeture d'une fistule de liquide cérébrospinal ou d'une méningocèle postopératoire spinale;1
AFFA007;Exérèse de tumeur intradurale extraspinale, par abord postérieur ou postérolatéral;1
AFFA001;Exérèse de tumeur intradurale extraspinale sans reconstruction vertébrale, par abord antérieur ou antérolatéral;1
AFFA009;Exérèse de tumeur intradurale extraspinale avec reconstruction vertébrale, par abord antérieur ou antérolatéral;1
AFFA010;Exérèse de tumeur épidurale rachidienne, par abord postérieur;1
AFFA005;Exérèse de tumeur épidurale rachidienne avec ostéosynthèse vertébrale, par abord postérieur;1
AFFA003;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord postérieur ou postérolatéral;1
AFFA008;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale sans reconstruction vertébrale, par abord antérieur ou antérolatéral;1
AFFA002;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale, par abord postérieur ou postérolatéral;1
AFFA011;Exérèse de tumeur en sablier extracanalaire et intracanalaire vertébrale avec reconstruction vertébrale, par abord antérieur ou antérolatéral;1
ABMA002;Révision ou changement d'élément d'une dérivation interne du liquide cérébrospinal, par abord direct;1
ABGA002;Ablation d'une dérivation interne du liquide cérébrospinal intracrânien, par abord direct;1
AALB001;Implantation d’électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique;1
AALA900;Implantation d’électrode de stimulation corticale cérébrale à visée thérapeutique, par craniotomie;1
AELB002;Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique, par voie transcutanée;1
AELB001;Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique par voie transcutanée, avec implantation souscutanée d'un générateur de stimulation neurologique;1
AELA001;Implantation d’électrode de stimulation de la moelle épinière à visée thérapeutique, par abord direct;1
AAGA900;Ablation d’électrode corticale cérébrale, par craniotomie;1
AEGA001;Ablation d’électrode de stimulation de la moelle épinière, par abord direct;1
AALA004;Implantation souscutanée d'un générateur de stimulation cérébrale;1
AELA002;Implantation souscutanée d'un générateur de stimulation de la moelle épinière;1
AZGA001;Ablation d'un générateur souscutané de stimulation du système nerveux central;1
AAKA001;Changement d'un générateur souscutané de stimulation cérébrale;1
AEKA001;Changement d'un générateur souscutané de stimulation de la moelle épinière;1
ADPA020;Décompression du nerf optique, par abord orbitaire;1
ADPA001;Décompression du nerf optique, par craniotomie;1
ADPA023;Décompression du nerf optique, par abord transsinusien [transethmoïdal];1
ADLB001;Infiltration thérapeutique de branche terminale du nerf trijumeau;1
ADPA016;Décompression du nerf infraorbitaire, par abord direct;1
ADPA004;Décompression du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal;1
ADCA004;Déroutement du nerf alvéolaire inférieur [dentaire inférieur], par abord intrabuccal;1
ADPA003;Section d'une branche extracrânienne du nerf trijumeau, par abord direct;1
ADCA002;Suture de plaie du nerf facial extrapétreux;1
ADEA001;Autogreffe du nerf facial, par abord transmastoïdien;1
ADEA004;Autogreffe du nerf facial, par abord suprapétreux et/ou par abord rétrosigmoïdien;1
ADEA003;Autogreffe du nerf facial avec déroutement, par abord translabyrinthique;1
ADEA002;Autogreffe du nerf facial extrapétreux;1
ADPA008;Décompression du nerf facial, par abord transmastoïdien;1
ADPA011;Décompression du nerf facial, par abord suprapétreux;1
ADPA021;Décompression du nerf facial, par abord transmastoïdien et par abord suprapétreux;1
ADCA001;Déroutement et suture du nerf facial, par abord transmastoïdien;1
ADCA003;Déroutement et suture du nerf facial, par abord suprapétreux;1
ADCA007;Déroutement et suture du nerf facial, par abord translabyrinthique;1
ADPA015;Section du nerf du canal ptérygoïdien [Neurotomie vidienne];1
ADPA009;Section des nerfs pétreux, par abord suprapétreux;1
ADFA004;Exérèse de lésion du nerf facial intrapétreux avec réparation immédiate;1
ADFA003;Exérèse de lésion du nerf facial extrapétreux sans réparation immédiate;1
ADFA006;Exérèse de lésion du nerf facial extrapétreux avec réparation immédiate;1
ADPA007;Neurotomie vestibulaire, par abord suprapétreux;1
ADPA005;Neurotomie vestibulaire, par abord translabyrinthique;1
ADPA010;Neurotomie vestibulaire, par abord rétrolabyrinthique;1
ADPA017;Section du nerf tympanique [de Jacobson] dans le cavum tympanique;1
ADPA012;Section du nerf ampullaire postérieur;1
ADPC004;Vagotomie tronculaire, par thoracoscopie;1
ADPA014;Vagotomie tronculaire, par thoracotomie;1
ADPC001;Vagotomie tronculaire, par cœlioscopie;1
ADPA022;Vagotomie tronculaire, par laparotomie;1
ADPA018;Vagotomie tronculaire avec gastrojéjunostomie, par laparotomie;1
ADPA024;Vagotomie tronculaire avec antrectomie gastrique, par laparotomie;1
ADPC003;Vagotomie tronculaire postérieure avec séromyotomie œsogastrique antérieure, par cœlioscopie;1
ADPA002;Vagotomie tronculaire postérieure avec séromyotomie œsogastrique antérieure, par laparotomie;1
ADPC002;Vagotomie suprasélective, par cœlioscopie;1
ADPA019;Vagotomie suprasélective, par laparotomie;1
ADLA001;Implantation d'un stimulateur du nerf vague, par abord direct;1
ADKA001;Changement d'un générateur de stimulation du nerf vague, par abord direct;1
ADGA001;Ablation d'un générateur de stimulation du nerf vague, par abord direct;1
ADCA006;Suture de plaie d'un nerf crânien, par craniotomie;1
ACPA001;Libération d'un conflit vasculonerveux intracrânien, par craniotomie;1
ADEA005;Autogreffe de nerf crânien, par craniotomie;1
ADPC900;Section de nerf crânien, par vidéochirurgie intracrânienne;1
ADPA013;Section de nerf crânien, par abord infraoccipital rétrosigmoïdien;1
ADCA005;Anastomose extracrânienne entre deux nerfs crâniens;1
ADFA005;Exérèse de lésion extracrânienne d'un nerf crânien sans réparation immédiate;1
ADFA002;Exérèse de lésion extracrânienne d'un nerf crânien avec réparation immédiate par autogreffe;1
KFFA001;Exérèse de tumeur parapharyngienne, par cervicotomie;1
AHLB003;Infiltration thérapeutique unilatérale ou bilatérale du nerf grand occipital [grand nerf occipital d'Arnold];1
AHFA002;Exérèse de tumeur nerveuse cervicale superficielle, par cervicotomie;1
AHFA010;Exérèse de tumeur nerveuse cervicale profonde, par cervicotomie;1
AHFA011;Exérèse de tumeur nerveuse cervicale profonde, par cervicotomie et par thoracotomie;1
AHCA007;Suture de plaie d'un nerf cervicofacial, par abord direct;1
AHEA012;Autogreffe d'un nerf cervicofacial, par abord direct;1
AHLB016;Infiltration thérapeutique du plexus brachial;1
AHCA001;Suture, autogreffe non pédiculée et/ou neurotisation du plexus brachial, par abord supraclaviculaire;1
AHCA022;Suture, autogreffe non pédiculée et/ou neurotisation du plexus brachial, par abord infraclaviculaire;1
AHCA020;Suture, autogreffe non pédiculée et/ou neurotisation du plexus brachial, par abord supraclaviculaire et par abord infraclaviculaire;1
AHEA018;Autogreffe pédiculée du plexus brachial, par abord supraclaviculaire et par abord infraclaviculaire;1
AHPA020;Libération du plexus brachial, par abord infraclaviculaire;1
AHPA004;Libération du plexus brachial avec scalénotomie, par abord supraclaviculaire;1
AHPA005;Libération du plexus brachial avec scalénotomie et ablation de côte cervicale, par abord supraclaviculaire;1
AHPA006;Libération du plexus brachial, par abord supraclaviculaire et par abord infraclaviculaire;1
AHFA008;Exérèse de tumeur du plexus brachial ou du plexus lombosacral avec réparation immédiate, par abord direct;1
AHLB006;Infiltration thérapeutique du nerf médian dans le canal carpien;1
AHCA019;Suture de plaie du nerf circonflexe, par abord direct;1
AHCA005;Suture de plaie du nerf musculocutané, par abord direct;1
AHCA009;Suture de plaie du nerf radial au bras ou au coude, par abord direct;1
AHCA016;Suture de plaie de nerf profond du membre supérieur en amont du poignet, par abord direct;1
AHCA018;Suture de plaie du nerf médian ou du nerf ulnaire au poignet, par abord direct;1
AHCA012;Suture de plaie du nerf médian ou du nerf ulnaire au poignet avec suture de plaie de l'artère radiale ou de l'artère ulnaire, par abord direct;1
AHCA006;Suture de plaies du nerf médian et du nerf ulnaire au poignet, par abord direct;1
AHCA008;Suture de plaies du nerf médian et du nerf ulnaire au poignet avec suture de plaie de l'artère radiale ou de l'artère ulnaire, par abord direct;1
AHCA017;Suture de plaies du nerf médian et du nerf ulnaire au poignet avec suture de plaies de l'artère radiale et de l'artère ulnaire, par abord direct;1
AHCA023;Suture de plaie d’un nerf digital palmaire, sur un rayon de la main;1
AHCA015;Suture de plaies d’un nerf digital palmaire et d’une artère digitale palmaire, sur un rayon de la main;1
AHCA013;Suture de plaies de 2 nerfs digitaux palmaires, sur un rayon de la main;1
AHCA002;Suture de plaies de 2 nerfs digitaux palmaires et d’une artère digitale palmaire, sur un rayon de la main;1
AHEA010;Autogreffe du nerf circonflexe, par abord direct;1
AHEA002;Autogreffe du nerf musculocutané, par abord direct;1
AHEA014;Autogreffe du nerf radial, par abord direct;1
AHEA004;Autogreffe du nerf médian à l'avant-bras, par abord direct;1
AHEA011;Autogreffe du nerf ulnaire à l'avant-bras, par abord direct;1
AHEA008;Autogreffe du nerf médian ou du nerf ulnaire au poignet, par abord direct;1
AHEA005;Autogreffe du nerf médian et du nerf ulnaire au poignet, par abord direct;1
AHEA016;Autogreffe nerveuse à la main, par abord direct;1
AHPA016;Libération du nerf circonflexe, par abord direct;1
AHPA012;Libération du nerf supraclaviculaire et/ou de ses branches, par abord direct;1
AHPA013;Libération du nerf musculocutané, par abord direct;1
AHPA027;Libération du nerf radial au bras, par abord direct;1
AHPA023;Libération du nerf radial au coude, par abord direct;1
AHPA022;Libération du nerf ulnaire au coude, par abord direct;1
AHPA021;Libération du nerf ulnaire au poignet et/ou à la main, par abord direct;1
AHPC001;Libération du nerf médian au canal carpien, par vidéochirurgie;1
AHPA009;Libération du nerf médian au canal carpien, par abord direct;1
AHPA028;Libération de nerf digital par abord direct, sur un rayon de la main;1
AHPA007;Neurotomie ou neurectomie intrafasciculaire ou extrafasciculaire des troncs et/ou des rameaux moteurs au membre supérieur, pour hyponeurotisation;1
AHPA026;Dénervation complète du poignet, par abord direct;1
AHLA001;Implantation d'un stimulateur électrique pour restauration de la motricité du membre supérieur;1
AHGA002;Ablation d'un stimulateur électrique de restauration de la motricité du membre supérieur;1
AHKA003;Changement du générateur d'un stimulateur électrique de restauration de la motricité du membre supérieur;1
AHKA002;Changement d'électrode d'un stimulateur électrique de restauration de la motricité du membre supérieur;1
AHLB015;Infiltration thérapeutique de nerf de la paroi du tronc, sans stimulodétection;1
AHLB010;Infiltration thérapeutique de nerf de la paroi du tronc, avec stimulodétection;1
AHPA014;Libération de nerf de la paroi du tronc, par abord direct;1
AHLA002;Implantation d'électrode de stimulation du nerf phrénique par thoracotomie, avec pose d'un stimulateur externe;1
AHGA001;Ablation d'électrode de stimulation du nerf phrénique, par thoracotomie;1
AHKA001;Changement d'électrode de stimulation du nerf phrénique, par thoracotomie;1
AHLH010;Infiltration thérapeutique de nerf pelvien profond, avec guidage radiologique;1
AHLH004;Infiltration thérapeutique de nerf pelvien profond, avec guidage scanographique;1
AHLH002;Infiltration thérapeutique du plexus lombosacral, avec guidage radiologique;1
AHLH003;Infiltration thérapeutique du plexus lombosacral, avec guidage scanographique;1
AHCA014;Suture, greffe et/ou neurotisation du plexus lombosacral, par abord direct;1
AHCA004;Suture de plaie du nerf fémoral [crural], par abord direct;1
AHCA010;Suture de plaie du nerf sciatique à la cuisse, par abord direct;1
AHCA011;Suture de plaie du nerf tibial [sciatique poplité interne], par abord direct;1
AHCA021;Suture de plaie du nerf fibulaire commun [sciatique poplité externe], par abord direct;1
AHCA003;Suture de plaie de nerf à la cheville ou au pied, par abord direct;1
AHEA013;Autogreffe du nerf fémoral [crural], par abord direct;1
AHEA017;Autogreffe du nerf sciatique à la fesse, par abord direct;1
AHEA006;Autogreffe du nerf sciatique à la cuisse, par abord direct;1
AHEA009;Autogreffe du nerf tibial [sciatique poplité interne] ou du nerf fibulaire commun [sciatique poplité externe], par abord direct;1
AHEA003;Autogreffe nerveuse à la cheville ou au pied, par abord direct;1
AHPA002;Libération du plexus lombosacral, par abord direct;1
AHPA017;Libération du nerf fémoral [crural], du nerf sciatique et/ou de leurs branches à la racine du membre inférieur ou à la cuisse, par abord direct;1
AHPA010;Libération du nerf fibulaire commun [sciatique poplité externe] au genou, par abord direct;1
AHPA008;Libération du nerf tibial [sciatique poplité interne] à la jambe et/ou au canal calcanéen, par abord direct;1
AHPA001;Libération de nerf à la cheville et/ou au pied, par abord direct;1
AHPA011;Libération ou résection d'un nerf digital plantaire, par abord direct;1
AHFA005;Résection du nerf présacral, par laparotomie;1
AHLB018;Implantation d'une électrode test sur une racine nerveuse sacrale pour neuromodulation, par voie transcutanée;1
AHLA003;Implantation d'une électrode définitive sur une racine nerveuse sacrale par abord direct, avec implantation souscutanée d'un générateur de neuromodulation;1
AHPA015;Neurotomie ou neurectomie intrafasciculaire ou extrafasciculaire des troncs ou des rameaux moteurs au membre inférieur, pour hyponeurotisation;1
AHLB011;Infiltration thérapeutique de nerf spinal à l'émergence rachidienne, sans guidage;1
AHLH014;Infiltration thérapeutique de nerf spinal à l'émergence rachidienne, avec guidage radiologique;1
AHLH007;Infiltration thérapeutique de nerf spinal à l'émergence rachidienne, avec guidage scanographique;1
AHLH018;Infiltration thérapeutique de rameau dorsal de nerf spinal, avec guidage radiologique;1
AHLH017;Infiltration thérapeutique de rameau dorsal de nerf spinal, avec guidage scanographique;1
AHLB014;Infiltration thérapeutique de nerf superficiel d'un membre, sans stimulodétection électrique;1
AHLB002;Infiltration thérapeutique de nerf superficiel d'un membre, avec stimulodétection électrique;1
