CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,CMD13,CMD14,CMD15,CMD16,CMD17,CMD18,CMD19,CMD20,CMD21,CMD22,CMD23
A840,D231,C029,A420,I060,A078,C220,D180,B358,E030,D411,D176,C570,O0423,,D563,C823,A250,F0013,F1054,S090,T241,P033
A841,D310,C030,A430,I061,A079,C221,D181,B359,E031,D412,D290,C571,O0430,,D564,C824,A251,F00130,F1055,S097,T242,P034
A848,D311,C031,A481,I062,A080,C222,D210,B360,E032,D413,D291,C572,O0431,,D568,C825,A259,F00131,F1056,S098,T243,P035
A849,D312,C039,B012,I068,A081,C223,D211,B361,E033,D414,D292,C573,O0432,,D569,C826,A267,F00132,F106,S150,T244,P036
A850,D313,C040,B052,I069,A082,C224,D212,B362,E034,D417,D293,C574,O0433,,D570,C827,A268,F0014,F107,S151,T245,P038
A851,D314,C041,B250,I070,A083,C227,D2138,B363,E035,D419,D294,C577,O0440,,D571,C829,A269,F00140,F1070,S152,T246,P039
A852,D315,C048,B334,I071,A084,C229,D2148,B368,E038,E102,D297,C578,O0441,,D572,C830,A270,F00141,F1071,S153,T247,P040
A858,D316,C049,B371,I072,A085,C23,D2158,B369,E039,E1120,D299,C579,O0442,,D573,C831,A278,F00142,F1072,S157,T250,P041
A86,D319,C050,B380,I078,A090,C240,D216,B372,E040,E1128,D400,C58,O0443,,D578,C833,A279,F002,F1073,S158,T251,P042
A870,E103,C051,B381,I079,A099,C241,D219,B383,E041,E122,D401,C796,O0450,,D580,C835,A280,F0020,F1074,S159,T252,P043
A871,E1130,C052,B382,I080,A183,C248,D480,B403,E042,E132,D407,D060,O0451,,D581,C837,A281,F00200,F1075,S178,T253,P044
A872,E1138,C058,B390,I081,A213,C249,D481,B430,E048,E142,D409,D061,O0452,,D582,C838,A282,F00201,F108,S179,T254,P045
A878,E123,C059,B391,I082,A222,C250,D4830,B432,E049,I120,I861,D067,O0453,,D588,C839,A288,F00202,F109,S18,T255,P046
A879,E133,C060,B392,I083,A421,C251,E550,B452,E050,I129,I862,D069,O0460,,D589,C840,A300,F0021,F110,S197,T256,P048
A880,E143,C061,B400,I088,A511,C252,E850,B463,E051,N000,L291,D070,O0461,,D590,C841,A301,F00210,F1100,S198,T257,P049
A888,E500,C062,B401,I089,A546,C253,E851,B470,E052,N001,N393,D071,O0462,,D591,C844,A302,F00211,F1101,S250,T283,P200
A89,E501,C068,B402,I090,A563,C254,E852,B471,E053,N002,N40,D072,O0463,,D592,C845,A303,F00212,F1102,S251,T284,P201
A922,E502,C069,B410,I091,A601,C254+0,E853,B479,E054,N003,N410,D073,O0470,,D593,C846,A304,F0022,F1103,S252,T288,P209
B003,E503,C07,B420,I092,B054,C254+8,E854,B551,E055,N004,N411,D250,O0471,,D594,C847,A305,F00220,F1104,S253,T289,P282
B004,E504,C080,B440,I098,B462,C257,E858,B552,E058,N005,N412,D251,O0472,,D595,C848,A308,F00221,F1105,S254,T290,P964
B010,E505,C081,B441,I099,B651,C258,E859,B653,E059,N006,N413,D252,O0473,,D596,C849,A309,F00222,F1106,S255,T291,P968
B011,E506,C088,B450,I10,B665,C259,G551,B72,E060,N007,N418,D259,O0480,,D598,C851,A318,F0023,F1107,S257,T292,Q860
B020,E507,C089,B460,I1100,B680,C259+0,I00,B781,E061,N008,N419,D260,O0481,,D599,C852,A319,F00230,F111,S2580,T293,Q861
B021,H000,C090,B485,I1101,B681,C259+8,L405,B850,E062,N009,N420,D261,O0482,,D600,C857,A327,F00231,F112,S2588,T294,Q862
B022,H001,C091,B583,I1102,B689,C787,M000,B851,E063,N010,N421,D267,O0483,,D601,C859,A328,F00232,F1120,S259,T295,Q868
B050,H010,C098,B664,I1109,B699,D015,M0000,B852,E064,N011,N422,D269,O0490,,D608,C860,A329,F0024,F11200,S277,T296,Q870
B051,H011,C099,B671,I119,B710,D017,M0001,B853,E065,N012,N423,D27,O0491,,D609,C861,A33,F00240,F11201,S2770,T297,Q871
B060,H018,C100,B833,I1300,B711,D134,M0002,B854,E069,N013,N428,D280,O0492,,D610,C862,A35,F00241,F11202,S2771,T300,Q872
B261,H019,C101,C33,I1301,B718,D135,M0003,B86,E070,N014,N430,D281,O0493,,D611,C863,A368,F00242,F1121,S278,T301,Q873
B262,H020,C102,C340,I1302,B719,D136,M0004,B870,E071,N015,N431,D282,O050,,D612,C864,A369,F009,F1122,S2780,T302,Q874
B375,H021,C103,C341,I1309,B760,D376,M0005,B871,E078,N016,N432,D287,O051,,D613,C865,A38,F0090,F1123,S2781,T303,Q875
B384,H022,C104,C342,I131,B761,E804,M0006,B879,E100,N017,N433,D289,O052,,D618,C866,A391,F00900,F1124,S297,T304,Q878
B431,H023,C108,C343,I1320,B768,E805,M0007,B880,E101,N0170,N434,D390,O053,,D619,C880,A392,F00901,F11240,S298,T305,Q894
B451,H024,C109,C348,I1321,B769,E806,M0008,B881,E106,N0179,N44,D391,O054,,D62,C882,A393,F00902,F11241,S350,T306,Q897
B500,H025,C110,C349,I1322,B770,E807,M0009,B882,E107,N018,N450,D392,O055,,D630,C883,A394,F0091,F1125,S351,T307,Q898
B574,H026,C111,C37,I1329,B778,I81,M001,B883,E109,N019,N459,D397,O056,,D638,C884,A398,F00910,F1126,S352,T310,Q900
B582,H027,C112,C381,I139,B779,I820,M0010,C430,E1100,N020,N46,D399,O057,,D640,C887,A399,F00911,F113,S353,T311,Q901
B602,H028,C113,C382,I150,B780,K700,M0011,C432,E1108,N0200,N47,E280,O058,,D641,C889,A400,F00912,F1130,S354,T312,Q902
B690,H029,C118,C383,I151,B789,K701,M0012,C433,E1110,N0209,N480,E281,O059,,D642,C900,A401,F0092,F1131,S355,T3130,Q909
B832,H030,C119,C384,I152,B79,K702,M0013,C434,E1118,N021,N481,E282,O060,,D643,C901,A402,F00920,F114,S357,T3131,Q910
C470,H031,C12,C388,I158,B80,K703,M0014,C435,E1160,N0210,N482,E283,O061,,D644,C902,A403,F00921,F1140,S358,T3140,Q911
C471,H038,C130,C398,I159,B810,K704,M0015,C436,E1168,N0219,N483,E288,O062,,D648,C903,A408,F00922,F1141,S359,T3141,Q912
C472,H040,C131,C450,I200,B811,K709,M0016,C437,E1170,N022,N484,E289,O063,,D649,C910,A409,F0093,F115,S367,T3150,Q913
C473,H041,C132,C4672,I201,B812,K710,M0017,C438,E1178,N023,N485,E894,O064,,D65,C911,A410,F00930,F1150,S3670,T3151,Q914
C474,H042,C138,C780,I208,B813,K711,M0018,C439,E1190,N024,N486,I862,O065,,D66,C913,A411,F00931,F1151,S3671,T316,Q915
C475,H043,C139,C781,I209,B814,K712,M0019,C440,E1198,N025,N488,I863,O066,,D67,C914,A412,F00932,F1152,S368,T317,Q916
C476,H044,C140,C782,I2100,B818,K713,M002,C442,E120,N026,N490,L292,O067,,D680,C915,A413,F0094,F1153,S3680,T318,Q917
C478,H045,C142,C783,I21000,B820,K714,M0020,C443,E121,N027,N491,N393,O068,,D681,C916,A414,F00940,F1154,S3681,T319,Q920
C479,H046,C148,D021,I2108,B829,K715,M0021,C444,E126,N028,N492,N700,O069,,D682,C917,A415,F00941,F1155,S377,T320,Q921
C700,H048,C300,D022,I2110,C150,K716,M0022,C445,E127,N029,N498,N701,O070,,D683,C918,A418,F00942,F1156,S3770,T321,Q922
C701,H049,C301,D142,I21100,C151,K717,M0023,C446,E129,N030,N499,N709,O071,,D684,C919,A419,F010,F116,S3771,T322,Q923
C709,H050,C310,D143,I2118,C152,K718,M0024,C447,E130,N031,N500,N710,O072,,D685,C920,A427,F0100,F117,S3810,T323,Q924
C710,H051,C311,D150,I2120,C153,K719,M0025,C448,E131,N0310,N501,N711,O073,,D686,C921,A428,F01000,F1170,S3818,T324,Q925
C711,H052,C312,D152,I21200,C154,K720,M0026,C449,E136,N0319,N508,N719,O074,,D688,C922,A429,F01001,F1171,S383,T325,Q926
C712,H053,C313,D157,I2128,C155,K721,M0027,C460,E137,N032,N510,N72,O075,,D689,C923,A438,F01002,F1172,S396,T326,Q927
C713,H054,C318,D167,I2130,C158,K729,M0028,C500,E139,N033,N511,N730,O076,,D690,C924,A439,F0101,F1173,S397,T327,Q928
C714,H055,C319,D190,I21300,C159,K730,M0029,C501,E140,N0330,N512,N731,O077,,D691,C925,A440,F01010,F1174,S398,T328,Q929
C715,H058,C320,D381,I2138,C160,K731,M008,C502,E141,N0339,N518,N732,O078,,D692,C926,A448,F01011,F1175,S450,T329,Q930
C716,H060,C321,D382,I2140,C161,K732,M0080,C503,E146,N034,N994,N733,O079,,D693,C927,A449,F01012,F118,S451,T330,Q931
C717,H061,C322,D383,I21400,C162,K738,M0081,C504,E147,N035,P835,N734,O080,,D694,C928,A480,F0102,F119,S452,T331,Q932
C718,H062,C323,D384,I2148,C163,K739,M0082,C505,E149,N036,Q530,N735,O081,,D695,C929,A482,F01020,F120,S453,T332,Q933
C719,H063,C328,D860,I2190,C164,K740,M0083,C506,E15,N037,Q531,N736,O082,,D696,C930,A483,F01021,F1200,S457,T333,Q934
C720,H100,C329,D862,I21900,C165,K741,M0084,C508,E160,N038,Q532,N738,O083,,D698,C931,A484,F01022,F1201,S458,T334,Q935
C721,H101,C390,D868,I2198,C166,K742,M0085,C509,E161,N0380,Q539,N739,O084,,D70,C933,A488,F0103,F1202,S459,T335,Q936
C722,H102,C411,D869,I2200,C168,K743,M0086,C760,E162,N0389,Q540,N740,O085,,D71,C937,A500,F01030,F1203,S47+0,T336,Q937
C723,H103,C462,E840,I22000,C169,K744,M0087,C792,E163,N039,Q541,N741,O086,,D720,C939,A501,F01031,F1204,S47+8,T337,Q938
C724,H104,C4670,G473,I2208,C169+0,K745,M0088,D030,E164,N040,Q542,N742,O087,,D721,C940,A502,F01032,F1205,S480,T338,Q939
C725,H105,D000,I260,I2210,C169+8,K746,M0089,D033,E168,N0400,Q543,N743,O088,,D728,C942,A505,F0104,F1206,S481,T339,Q950
C728,H108,D020,I269,I22100,C170,K750,M009,D034,E169,N0409,Q544,N744,O089,,D730,C943,A506,F01040,F1207,S489,T340,Q951
C729,H109,D023,J041,I2218,C171,K751,M0090,D035,E200,N041,Q548,N748,O100,,D731,C944,A507,F01041,F121,S497,T341,Q952
C753,H110,D032,J09,I2280,C172,K752,M0091,D036,E201,N042,Q549,N750,O101,,D732,C946,A509,F01042,F122,S498,T342,Q953
C754,H111,D042,J100,I22800,C173,K753,M0092,D037,E208,N043,Q550,N751,O102,,D733,C947,A512,F011,F1220,S550,T343,Q954
C755,H112,D100,J101,I2288,C178,K754,M0093,D038,E209,N044,Q551,N758,O103,,D734,C950,A514,F0110,F12200,S551,T344,Q955
C793,H113,D101,J108,I2290,C179,K758,M0094,D039,E210,N045,Q552,N759,O104,,D735,C951,A515,F01100,F12201,S552,T345,Q958
C794,H114,D102,J110,I22900,C180,K759,M0095,D040,E211,N046,Q553,N760,O109,,D738,C957,A519,F01101,F12202,S557,T346,Q959
D320,H118,D103,J111,I298,C181,K760,M0096,D043,E212,N047,Q554,N761,O11,,D740,C959,A527,F01102,F1221,S558,T347,Q998
D321,H119,D104,J118,I230,C182,K761,M0097,D044,E213,N048,Q555,N762,O120,,D748,C960,A528,F0111,F1222,S559,T348,Q999
D329,H130,D105,J120,I231,C183,K762,M0098,D045,E214,N049,Q556,N763,O121,,D749,C962,A529,F01110,F1223,S570,T349,R098
D330,H131,D106,J121,I232,C184,K763,M0099,D046,E220,N050,Q558,N764,O122,,D750,C964,A530,F01111,F1224,S578,T350,R102
D331,H132,D107,J122,I233,C185,K764,M010,D047,E221,N051,Q559,N765,O13,,D751,C965,A539,F01112,F12240,S579,T351,R190
D332,H133,D109,J123,I234,C186,K765,M0100,D048,E222,N052,Q560,N766,O140,,D758,C966,A548,F0112,F12241,S580,T352,R198
D333,H138,D110,J128,I235,C187,K766,M0101,D049,E228,N053,Q561,N768,O141,,D761,C967,A549,F01120,F1225,S581,T353,R230
D334,H150,D117,J129,I236,C188,K767,M0102,D050,E229,N054,Q562,N770,O142,,D762,C968,A568,F01121,F1226,S589,T354,R231
D337,H151,D119,J13,I238,C189,K768,M0103,D051,E230,N055,Q563,N771,O149,,D763,D097,A598,F01122,F123,S597,T355,R232
D339,H158,D140,J14,I240,C189+0,K770,M0104,D057,E231,N056,Q564,N778,O150,,D77,D174,A599,F0113,F1230,S598,T356,R2630
D354,H159,D141,J150,I241,C189+8,K778,M0105,D059,E232,N057,Q640,N800,O151,,D800,D175,A65,F01130,F1231,S650,T357,R2638
D355,H160,D165,J151,I248,C19,K800,M0106,D170,E233,N058,Q960,N801,O152,,D801,D177,A667,F01131,F124,S651,,R298
D356,H161,D222,J152,I249,C20,K801,M0107,D171,E236,N059,Q961,N802,O159,,D802,D197,A668,F01132,F1240,S652,,R411
D361,H162,D232,J153,I250,C210,K802,M0108,D172,E240,N060,Q962,N803,O16,,D803,D200,A669,F0114,F1241,S653,,R412
D420,H163,D370,J154,I251,C211,K803,M0109,D173,E241,N061,Q963,N804,O200,,D804,D367,A672,F01140,F125,S654,,R413
D421,H164,D380,J155,I252,C212,K804,M011,D179,E242,N062,Q964,N808,O208,,D805,D377,A679,F01141,F1250,S655,,R418
D429,H168,D385,J156,I253,C218,K805,M0110,D220,E243,N063,Q968,N809,O209,,D806,D45,A680,F01142,F1251,S657,,R460
D430,H169,H600,J157,I254,C260,K808,M0111,D223,E244,N064,Q969,N810,O210,,D807,D460,A681,F012,F1252,S658,,R461
D431,H170,H601,J158,I255,C268,K810,M0112,D224,E248,N065,Q980,N811,O211,,D808,D461,A689,F0120,F1253,S659,,R462
D432,H171,H602,J159,I256,C451,K811,M0113,D225,E249,N066,Q981,N812,O212,,D809,D462,A692,F01200,F1254,S670,,R463
D433,H178,H603,J160,I258,C4671,K818,M0114,D226,E250,N067,Q982,N813,O218,,D810,D464,A698,F01201,F1255,S678,,R464
D434,H179,H604,J168,I259,C481,K819,M0115,D227,E258,N068,Q983,N814,O219,,D811,D465,A699,F01202,F1256,S680,,R465
D437,H180,H605,J170,I270,C482,K820,M0116,D229,E259,N070,Q984,N815,O220,,D812,D466,A70,F0121,F126,S681,,R466
D439,H181,H608,J171,I271,C488,K821,M0117,D230,E260,N071,Q985,N816,O221,,D813,D467,A748,F01210,F127,S682,,R467
D4440,H182,H609,J172,I272,C762,K822,M0118,D233,E261,N072,Q986,N818,O222,,D814,D469,A749,F01211,F1270,S683,,R468
D445,H183,H610,J173,I278,C784,K823,M0119,D234,E268,N073,Q987,N819,O223,,D815,D470,A750,F01212,F1271,S684,,R520
D447,H184,H611,J178,I279,C785,K824,M012,D235,E269,N074,Q988,N820,O224,,D816,D471,A751,F0122,F1272,S688,,R522
D482,H185,H612,J180,I280,C786,K828,M0120,D236,E270,N075,Q989,N821,O225,,D817,D473,A752,F01220,F1273,S689,,R529
E104,H186,H613,J181,I281,D001,K830,M0121,D237,E271,N076,Q990,N825,O228,,D818,D474,A753,F01221,F1274,S697,,R53+0
E1140,H187,H618,J182,I288,D002,K831,M0122,D239,E272,N077,Q991,N828,O229,,D819,D475,A759,F01222,F1275,S698,,R53+1
E1148,H188,H620,J188,I300,D010,K832,M0123,D24,E273,N078,Q992,N829,O230,,D820,D477,A770,F0123,F128,S750,,R53+2
E124,H189,H621,J189,I301,D011,K833,M0124,D485,E274,N079,R860,N830,O231,,D821,D479,A771,F01230,F129,S751,,R600
E134,H190,H622,J200,I308,D012,K834,M0125,D486,E275,N080,R861,N831,O232,,D822,D4838,A772,F01231,F130,S752,,R601
E144,H191,H623,J201,I309,D013,K835,M0126,D863,E278,N081,R862,N832,O233,,D823,D487,A773,F01232,F1300,S757,,R609
E512,H192,H624,J202,I310,D014,K838,M0127,I781,E290,N082,R863,N833,O234,,D824,Q850,A778,F0124,F1301,S758,,R64
E750,H193,H628,J203,I311,D120,K850,M0128,I890,E291,N083,R864,N834,O235,,D828,Q851,A779,F01240,F1302,S759,,R652
E751,H198,H650,J204,I312,D121,K851,M0129,I891,E298,N084,R865,N835,O239,,D829,Q858,A78,F01241,F1303,S770,,R659
E752,H200,H651,J205,I313,D122,K852,M013,I972,E299,N085,R866,N836,O240,,D830,Q859,A790,F01242,F1304,S771,,R680
E753,H201,H652,J206,I318,D123,K853,M0130,L00,E300,N088,R867,N837,O241,,D831,Z031,A791,F013,F1305,S772,,R681
E754,H202,H653,J207,I319,D124,K858,M0131,L010,E301,N10,R868,N838,O242,,D832,Z080,A798,F0130,F1306,S780,,R688
F072,H208,H654,J208,I320,D125,K859,M0132,L011,E308,N110,R869,N840,O243,,D838,Z081,A799,F01300,F1307,S781,,R700
F803,H209,H659,J209,I321,D126,K860,M0133,L020,E309,N111,S302,N841,O244,,D839,Z082,A804,F01301,F131,S789,,R701
F950,H210,H660,J210,I328,D126+0,K861,M0134,L021,E310,N118,S312,N842,O249,,D840,Z087,A920,F01302,F132,S797,,R740
F951,H211,H661,J211,I330,D126+1,K861+0,M0135,L022,E311,N119,S313,N843,O25,,D841,Z088,A921,F0131,F1320,S798,,R748
F952,H212,H662,J218,I339,D126+2,K861+8,M0136,L023,E318,N12,S315,N848,O260,,D848,Z089,A923,F01310,F13200,S850,,R749
F958,H213,H663,J219,I340,D126+3,K862,M0137,L024,E319,N130,S37808,N849,O261,,D849,Z4008,A924,F01311,F13201,S851,,R770
F959,H214,H664,J40,I341,D126+4,K863,M0138,L028,E340,N131,S37818,N850,O262,,D861,Z5100,A925,F01312,F13202,S852,,R771
G000,H215,H669,J410,I342,D126+5,K868,M0139,L029,E341,N132,S380,N851,O263,,D890,Z5101,A928,F0132,F1321,S853,,R772
G001,H218,H670,J411,I348,D126+6,K8700,M014,L030,E342,N133,S382,N852,O264,,D891,Z511,A929,F01320,F1322,S854,,R778
G002,H219,H671,J418,I349,D126+8,K8708,M0140,L031,E343,N134,T834,N853,O265,,D892,Z8002,A930,F01321,F1323,S855,,R779
G003,H220,H678,J42,I350,D127,K871,M0141,L032,E344,N135,Z302,N854,O266,,D893,Z806,A931,F01322,F1324,S857,,R790
G008,H221,H680,J430,I351,D128,K915,M0142,L033,E345,N136,Z310,N855,O267,,D898,Z807,A932,F0133,F13240,S858,,R798
G009,H228,H681,J431,I352,D129,P150,M0143,L038,E348,N137,Z314,N856,O268,,E320,Z809,A938,F01330,F13241,S859,,R799
G01,H250,H690,J432,I358,D130,P353,M0144,L039,E350,N138,Z4581,N857,O280,,E321,Z8502,A94,F01331,F1325,S870,,R821
G020,H251,H698,J438,I359,D131,P570,M0145,L040,E351,N139,Z804,N858,O281,,E328,Z8529,A950,F01332,F1326,S878,,R890
G021,H252,H699,J439,I360,D132,P578,M0146,L041,E358,N140,Z8421,N86,O282,,I881,Z856,A951,F0134,F133,S880,,R891
G028,H258,H700,J440,I361,D133,P579,M0147,L042,E40,N141,Z854,N870,O283,,I888,Z857,A959,F01340,F1330,S881,,R892
G030,H259,H701,J441,I362,D191,P580,M0148,L043,E41,N142,Z8741,N871,O284,,I889,Z85880,A960,F01341,F1331,S889,,R893
G031,H260,H702,J448,I368,D201,P581,M0149,L048,E42,N143,Z907,N872,O285,,I898,Z859,A961,F01342,F134,S897,,R894
G032,H261,H708,J449,I369,D371,P582,M015,L049,E43,N144,,N879,O288,,P151,Z86080,A962,F018,F1340,S898,,R895
G038,H262,H709,J450,I370,D372,P583,M0150,L050,E440,N150,,N880,O289,,P53,,A968,F0180,F1341,S950,,R896
G039,H263,H71,J451,I371,D373,P584,M0151,L059,E441,N151,,N881,O290,,P550,,A969,F01800,F135,S951,,R897
G040,H264,H720,J458,I372,D374,P585,M0152,L080,E45,N158,,N882,O291,,P551,,A970,F01801,F1350,S952,,R898
G041,H268,H721,J459,I378,D375,P588,M0153,L081,E46,N159,,N883,O292,,P558,,A971,F01802,F1351,S957,,R899
G042,H269,H722,J46,I379,D484,P589,M0154,L088,E508,N160,,N884,O293,,P559,,A972,F0181,F1352,S958,,R935
G048,H270,H728,J47,I38,E730,P590,M0155,L089,E509,N161,,N888,O294,,P560,,A979,F01810,F1353,S959,,R938
G049,H271,H729,J60,I390,E731,P591,M0156,L100,E511,N162,,N890,O295,,P569,,A980,F01811,F1354,S970,,R948
G050,H278,H730,J61,I391,E738,P592,M0157,L101,E518,N163,,N891,O296,,P60,,A981,F01812,F1355,S971,,R98
G051,H279,H731,J620,I392,E739,P593,M0158,L102,E519,N164,,N892,O298,,P610,,A982,F0182,F1356,S978,,R99
G052,H280,H738,J628,I393,E741,P598,M0159,L103,E52,N165,,N893,O299,,P611,,A983,F01820,F136,S980,,U0712
G058,H281,H740,J630,I394,E742,P599,M016,L104,E530,N168,,N894,O300,,P612,,A984,F01821,F137,S981,,U072
G060,H282,H741,J631,I398,E743,Q440,M0160,L105,E531,N170,,N895,O301,,P613,,A988,F01822,F1370,S982,,U073
G061,H288,H742,J632,I400,E841,Q441,M0161,L108,E538,N171,,N896,O302,,P614,,A99,F0183,F1371,S983,,U074
G062,H300,H743,J633,I401,I774,Q442,M0162,L109,E539,N172,,N897,O308,,P615,,B007,F01830,F1372,S984,,U075
G07,H301,H744,J634,I408,I850,Q443,M0163,L110,E54,N178,,N898,O309,,P616,,B008,F01831,F1373,S997,,U076
G08,H302,H748,J635,I409,I859,Q444,M0164,L111,E559,N179,,N899,O310,,P618,,B009,F01832,F1374,S998,,U077
G10,H308,H750,J638,I410,I864,Q445,M0165,L118,E560,N181,,N900,O311,,P619,,B018,F0184,F1375,T042,,U078
G110,H309,H758,J64,I411,I880,Q446,M0166,L119,E561,N182,,N901,O312,,Q890,,B019,F01840,F138,T043,,U079
G111,H310,H800,J65,I412,I982,Q447,M0167,L120,E568,N183,,N902,O318,,R161,,B027,F01841,F139,T044,,Z000
G112,H311,H801,J660,I418,I983,Q450,M0168,L121,E569,N184,,N903,O320,,R233,,B028,F01842,F140,T050,,Z001
G113,H312,H802,J661,I420,K20,Q451,M0169,L122,E58,N185,,N904,O321,,R590,,B03,F019,F1400,T051,,Z002
G114,H313,H808,J662,I421,K210,Q452,M018,L123,E59,N189,,N905,O322,,R591,,B04,F0190,F1401,T052,,Z003
G118,H314,H809,J668,I422,K219,Q453,M0180,L128,E60,N19,,N906,O323,,R599,,B058,F01900,F1402,T053,,Z004
G119,H318,H810,J670,I423,K220,R160,M0181,L129,E610,N200,,N907,O324,,R71,,B059,F01901,F1403,T054,,Z005
G120,H319,H811,J671,I424,K221,R162,M0182,L130,E611,N201,,N908,O325,,R72,,B068,F01902,F1404,T055,,Z006
G121,H3200,H812,J672,I425,K222,R170,M0183,L131,E612,N202,,N909,O326,,R760,,B069,F0191,F1405,T056,,Z008
